date,value,avg7,avg30
12-Aug-2015,4,0.5714285714285714,0.1333333333333333
13-Aug-2015,0,0.5714285714285714,0.1333333333333333
14-Aug-2015,0,0.5714285714285714,0.1333333333333333
15-Aug-2015,0,0.5714285714285714,0.1333333333333333
16-Aug-2015,8,1.714285714285714,0.4
17-Aug-2015,0,1.714285714285714,0.4
18-Aug-2015,0,1.714285714285714,0.4
19-Aug-2015,0,1.142857142857143,0.4
20-Aug-2015,8,2.285714285714286,0.6666666666666666
21-Aug-2015,0,2.285714285714286,0.6666666666666666
22-Aug-2015,0,2.285714285714286,0.6666666666666666
23-Aug-2015,4,1.714285714285714,0.8
24-Aug-2015,0,1.714285714285714,0.8
25-Aug-2015,0,1.714285714285714,0.8
26-Aug-2015,0,1.714285714285714,0.8
27-Aug-2015,0,0.5714285714285714,0.8
28-Aug-2015,4,1.142857142857143,0.9333333333333333
29-Aug-2015,0,1.142857142857143,0.9333333333333333
30-Aug-2015,0,0.5714285714285714,0.9333333333333333
31-Aug-2015,4,1.142857142857143,1.066666666666667
1-Sep-2015,0,1.142857142857143,1.066666666666667
2-Sep-2015,2,1.428571428571429,1.133333333333333
3-Sep-2015,10,2.857142857142857,1.466666666666667
4-Sep-2015,5,3.0,1.633333333333333
5-Sep-2015,0,3.0,1.633333333333333
6-Sep-2015,3,3.428571428571428,1.733333333333333
7-Sep-2015,2,3.142857142857143,1.8
8-Sep-2015,0,3.142857142857143,1.8
9-Sep-2015,9,4.142857142857143,2.1
10-Sep-2015,1,2.857142857142857,2.133333333333333
11-Sep-2015,3,2.571428571428572,2.1
12-Sep-2015,1,2.714285714285714,2.133333333333333
13-Sep-2015,2,2.571428571428572,2.2
14-Sep-2015,0,2.285714285714286,2.2
15-Sep-2015,3,2.714285714285714,2.033333333333333
16-Sep-2015,8,2.571428571428572,2.3
17-Sep-2015,1,2.571428571428572,2.333333333333333
18-Sep-2015,0,2.142857142857143,2.333333333333333
19-Sep-2015,0,2.0,2.066666666666667
20-Sep-2015,0,1.714285714285714,2.066666666666667
21-Sep-2015,0,1.714285714285714,2.066666666666667
22-Sep-2015,0,1.285714285714286,1.933333333333333
23-Sep-2015,0,0.1428571428571428,1.933333333333333
24-Sep-2015,0,0.0,1.933333333333333
25-Sep-2015,2,0.2857142857142857,2.0
26-Sep-2015,7,1.285714285714286,2.233333333333333
27-Sep-2015,0,1.285714285714286,2.1
28-Sep-2015,0,1.285714285714286,2.1
29-Sep-2015,0,1.285714285714286,2.1
30-Sep-2015,3,1.714285714285714,2.066666666666667
1-Oct-2015,25,5.285714285714286,2.9
2-Oct-2015,3,5.428571428571429,2.933333333333333
3-Oct-2015,0,4.428571428571429,2.6
4-Oct-2015,0,4.428571428571429,2.433333333333333
5-Oct-2015,1,4.571428571428571,2.466666666666667
6-Oct-2015,10,6.0,2.7
7-Oct-2015,0,5.571428571428571,2.633333333333333
8-Oct-2015,0,2.0,2.633333333333333
9-Oct-2015,11,3.142857142857143,2.7
10-Oct-2015,0,3.142857142857143,2.666666666666667
11-Oct-2015,6,4.0,2.766666666666667
12-Oct-2015,23,7.142857142857143,3.5
13-Oct-2015,31,10.14285714285714,4.466666666666667
14-Oct-2015,0,10.14285714285714,4.466666666666667
15-Oct-2015,0,10.14285714285714,4.366666666666666
16-Oct-2015,0,8.571428571428571,4.1
17-Oct-2015,1,8.714285714285714,4.1
18-Oct-2015,0,7.857142857142857,4.1
19-Oct-2015,0,4.571428571428571,4.1
20-Oct-2015,0,0.1428571428571428,4.1
21-Oct-2015,0,0.1428571428571428,4.1
22-Oct-2015,0,0.1428571428571428,4.1
23-Oct-2015,0,0.1428571428571428,4.1
24-Oct-2015,0,0.0,4.1
25-Oct-2015,21,3.0,4.733333333333333
26-Oct-2015,20,5.857142857142857,5.166666666666667
27-Oct-2015,3,6.285714285714286,5.266666666666667
28-Oct-2015,0,6.285714285714286,5.266666666666667
29-Oct-2015,0,6.285714285714286,5.266666666666667
30-Oct-2015,6,7.142857142857143,5.366666666666666
31-Oct-2015,0,7.142857142857143,4.533333333333333
1-Nov-2015,0,4.142857142857143,4.433333333333334
2-Nov-2015,13,3.142857142857143,4.866666666666666
3-Nov-2015,7,3.714285714285714,5.1
4-Nov-2015,0,3.714285714285714,5.066666666666666
5-Nov-2015,10,5.142857142857143,5.066666666666666
6-Nov-2015,0,4.285714285714286,5.066666666666666
7-Nov-2015,0,4.285714285714286,5.066666666666666
8-Nov-2015,0,4.285714285714286,4.7
9-Nov-2015,0,2.428571428571428,4.7
10-Nov-2015,0,1.428571428571429,4.5
11-Nov-2015,20,4.285714285714286,4.4
12-Nov-2015,3,3.285714285714286,3.466666666666667
13-Nov-2015,2,3.571428571428572,3.533333333333333
14-Nov-2015,32,8.142857142857142,4.6
15-Nov-2015,27,12.0,5.5
16-Nov-2015,53,19.57142857142857,7.233333333333333
17-Nov-2015,37,24.85714285714286,8.466666666666667
18-Nov-2015,7,23.0,8.7
19-Nov-2015,6,23.42857142857143,8.9
20-Nov-2015,13,25.0,9.333333333333334
21-Nov-2015,7,21.42857142857143,9.566666666666666
22-Nov-2015,5,18.28571428571428,9.733333333333333
23-Nov-2015,23,14.0,10.5
24-Nov-2015,9,10.0,10.1
25-Nov-2015,35,14.0,10.6
26-Nov-2015,1,13.28571428571429,10.53333333333333
27-Nov-2015,1,11.57142857142857,10.56666666666667
28-Nov-2015,6,11.42857142857143,10.76666666666667
29-Nov-2015,1,10.85714285714286,10.6
30-Nov-2015,12,9.285714285714286,11.0
